award,player_name,image_name
MVP турнира,Архи,best_mvp
Лучший черный,Чуха,best_mafia
Лучший красный,Гитлерок,best_red
Лучший Шериф,Наполеон,best_sheriff
Лучший Дон,Интерактив,best_don
