award,player_name,image_name
MVP турнира,NLIP,best_mvp
Лучший черный,NLIP,best_mafia
Лучший красный,Наполеон,best_red
Лучший Шериф,Блудница,best_sheriff
Лучший Дон,Чехия,best_don
