award,player_name,image_name
MVP турнира,Валерун-Балерун,best_mvp
Лучший черный,Lemon,best_mafia
Лучший красный,SOVEST,best_red
Лучший Шериф,Старый,best_sheriff
Лучший Дон,Бестия,best_don
