award,player_name,image_name
MVP турнира,Старый,best_mvp
Лучший черный,Валерун-Балерун,best_mafia
Лучший красный,Боня,best_red
Лучший Шериф,Гуря,best_sheriff
Лучший Дон,Архи,best_don
